row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
73,v3_hm_smoke,material,Magnetite,mono_40kev,20.0,1301,0,2.428,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_20mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_40kev_20mm_seed1301
74,v3_hm_smoke,material,Magnetite,mono_70kev,20.0,1201,0,2.336,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_20mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_70kev_20mm_seed1201
75,v3_hm_smoke,material,Magnetite,mono_70kev,20.0,1301,0,2.712,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_20mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_70kev_20mm_seed1301
76,v3_hm_smoke,material,Magnetite,mono_110kev,20.0,1201,0,2.986,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_20mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_110kev_20mm_seed1201
77,v3_hm_smoke,material,Magnetite,mono_110kev,20.0,1301,0,2.914,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_20mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_110kev_20mm_seed1301
78,v3_hm_smoke,material,Magnetite,mono_200kev,20.0,1201,0,3.204,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_20mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_200kev_20mm_seed1201
79,v3_hm_smoke,material,Magnetite,mono_200kev,20.0,1301,0,2.817,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_20mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_200kev_20mm_seed1301
80,v3_hm_smoke,material,Chalcopyrite,mono_40kev,5.0,1201,0,2.918,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_5mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_5mm_seed1201
81,v3_hm_smoke,material,Chalcopyrite,mono_40kev,5.0,1301,0,3.014,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_5mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_5mm_seed1301
82,v3_hm_smoke,material,Chalcopyrite,mono_70kev,5.0,1201,0,3.336,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_5mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_5mm_seed1201
83,v3_hm_smoke,material,Chalcopyrite,mono_70kev,5.0,1301,0,3.051,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_5mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_5mm_seed1301
84,v3_hm_smoke,material,Chalcopyrite,mono_110kev,5.0,1201,0,3.024,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_110kev_5mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_110kev_5mm_seed1201
85,v3_hm_smoke,material,Chalcopyrite,mono_110kev,5.0,1301,0,3.032,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_110kev_5mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_110kev_5mm_seed1301
86,v3_hm_smoke,material,Chalcopyrite,mono_200kev,5.0,1201,0,3.293,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_200kev_5mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_200kev_5mm_seed1201
87,v3_hm_smoke,material,Chalcopyrite,mono_200kev,5.0,1301,0,3.026,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_200kev_5mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_200kev_5mm_seed1301
88,v3_hm_smoke,material,Chalcopyrite,mono_40kev,10.0,1201,0,2.788,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_10mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_10mm_seed1201
89,v3_hm_smoke,material,Chalcopyrite,mono_40kev,10.0,1301,0,2.925,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_10mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_10mm_seed1301
90,v3_hm_smoke,material,Chalcopyrite,mono_70kev,10.0,1201,0,3.204,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_10mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_10mm_seed1201
91,v3_hm_smoke,material,Chalcopyrite,mono_70kev,10.0,1301,0,4.200,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_10mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_10mm_seed1301
92,v3_hm_smoke,material,Chalcopyrite,mono_110kev,10.0,1201,0,3.366,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_110kev_10mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_110kev_10mm_seed1201
93,v3_hm_smoke,material,Chalcopyrite,mono_110kev,10.0,1301,0,3.103,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_110kev_10mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_110kev_10mm_seed1301
94,v3_hm_smoke,material,Chalcopyrite,mono_200kev,10.0,1201,0,4.427,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_200kev_10mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_200kev_10mm_seed1201
95,v3_hm_smoke,material,Chalcopyrite,mono_200kev,10.0,1301,0,3.350,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_200kev_10mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_200kev_10mm_seed1301
96,v3_hm_smoke,material,Chalcopyrite,mono_40kev,20.0,1201,0,4.041,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_20mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_20mm_seed1201
97,v3_hm_smoke,material,Chalcopyrite,mono_40kev,20.0,1301,0,5.243,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_40kev_20mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_40kev_20mm_seed1301
98,v3_hm_smoke,material,Chalcopyrite,mono_70kev,20.0,1201,0,4.713,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_20mm_seed1201.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_20mm_seed1201
99,v3_hm_smoke,material,Chalcopyrite,mono_70kev,20.0,1301,0,4.080,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_chalcopyrite_mono_70kev_20mm_seed1301.txt,ms_v3_hm_smoke_chalcopyrite_mono_70kev_20mm_seed1301
