method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
LogisticMulticlassMain,validation,nominal,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,validation,nominal,Galena,Galena,8,1.0
LogisticMulticlassMain,validation,nominal,Hematite,Hematite,8,1.0
LogisticMulticlassMain,validation,nominal,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,validation,nominal,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,validation,nominal,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,validation,nominal,Quartz,Quartz,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Albite,Albite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Calcite,Calcite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Galena,Galena,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Hematite,Hematite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,validation,resolution_blur_validation_mid,Quartz,Quartz,8,1.0
LogisticMulticlassMain,validation,source_energy_scale_validation_mid,Albite,Albite,8,1.0
LogisticMulticlassMain,validation,source_energy_scale_validation_mid,Calcite,Calcite,8,1.0
LogisticMulticlassMain,validation,source_energy_scale_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
